index,date,title,publication
1,NA,Remembering Dele Giwa,NA
2,NA,"Dele Giwa's Death: 37yrs After, Council Chairman Establishes Essay Competition",NA
3,NA,Letter bomb did not kill Dele Giwa — Saka,NA
4,NA,AFRICMIL invites young journalists to submit essays on late Dele Giwa,NA
5,NA,37 years after Giwa's death: Etsako council chairman set up secondary school essay,NA
6,NA,"Utomi, Falana to attend lecture in honour of #EndSARS, Dele Giwa",NA
7,NA,"Remembering Dele Giwa, An Icon Of Bold Investigative Journalism",NA
8,NA,Dele Giwa's Assassination: 37 Years After -By Ugochukwu Ejinkeonye,NA
9,NA,"37 Years After, Analyst Blames Babangida, Successive Govts. For Failure To Find",NA
10,NA,"Utomi, Falana to attend lecture in honour of #EndSARS, Dele Giwa",NA
11,NA,Dele Giwa: 34 Years After His Gruesome Murder!,NA
12,NA,Dele Giwa's Assassination: 35 Years After (1),NA
13,NA,Land grabbers invade 'property of Dele Giwa's doctor',NA
14,NA,'Why Dele Giwa's doctor left home after Newswatch editor's death',NA
15,NA,Dele Giwa's Assassination: 35 Years After,NA
16,NA,Dele Giwa's Assassination: 35 Years After,NA
17,NA,Dele Giwa's Assassination: 35 Years After (2),NA
18,NA,I am Dele Giwa,NA
19,NA,Sunday Igboho: Why I rejected IGP Adamu's invitation,NA
20,NA,Why I Shunned Inspector-General Of Police's Invitation - Igboho,NA
21,NA,The enduring ministry of Ray Ekpu,NA
22,NA,The journalist as a game,NA
23,NA,MIKE [email protected]: I'll do journalism again if there's a second coming,NA
24,NA,Ita-Giwa tackles ex-DIG Omeben over Dele Giwa's death,NA
25,NA,"Dele Giwa, 29 Years After",NA
26,NA,Dele Giwa's Mother Dies At 87 - As Community Demands Fresh Probe Into Dele Giwa's,NA
27,NA,Dele Giwa and the Dilemma of a Journalist,NA
28,NA,'How Govt Can Unmask Dele Giwa's Killers',NA
29,NA,Remembering Dele Giwa [opinion],NA
30,NA,I won't rest until Bakassi people are properly resettled - Ita-Giwa,NA
31,NA,Sunday Igboho declines IGP's invitation via letter,NA
32,NA,Eminent journalist Ray Ekpu at 75,NA
33,NA,Dele Giwa - 25 Years of Fruitless Search for Killers,NA
34,NA,HATS OFF TO UNCLE RAY,NA
35,NA,FG Urged to Establish Journalism School in of Honour Dele Giwa,NA
36,NA,Ray is the reason I'm in journalism,NA
37,NA,Ray is the reason I'm in Journalism - Iboro Otongaran,NA
38,NA,Prologue: A diary of wastage,NA
39,NA,"30 Years After, Dele Giwa's Pen Remains Mightier",NA
40,NA,Ray is the reason I'm in Journalism,NA
41,NA,Who 'Killed' Gen. Ibrahim Attahiru?,NA
42,NA,Prologue: A diary of wastage,NA
43,NA,Dele Giwa: Omeben is a liar –Tsav,NA
44,NA,Ugbekpe -Ekperi - Remembering Dele Giwa 29 Years After,NA
45,NA,"Return of Newswatch , Victory For Dele Giwa Ray Ekpu",NA
46,NA,"Dele Giwa: Among Marwa, Amoda and Ogunade",NA
47,NA,What a murderer said,NA
48,NA,Why I turned down IGP's secret invitation - Sunday Igboho,NA
49,NA,‘Our history is rotting away’: the newspaper archivists preserving Nigeria ’s past,NA
50,NA,"At Babangida's 80th Birthday Lecture, Panelists Address His Challenges",NA
51,NA,Kaleidoscope: an artist's rite of passage,NA
52,NA,A Rare Ray,NA
53,NA,A Rare Ray,NA
54,NA,A Rare Ray,NA
55,NA,Why I Couldn't Investigate Dele Giwa's Death--Ex-DIG,NA
56,NA,Why I Couldn't Investigate Dele Giwa's Death—Ex-DIG,NA
57,NA,A Rare Ray!,NA
58,NA,"How Dele Giwa's mum died, by daughter",NA
59,NA,A Rare Ray,NA
60,NA,A rare Ray,NA
61,NA,Journalism Is Now Cash And Carry,NA
62,NA,Boko Haram Started With Bombing of Dele Giwa - - Prof Odinkalu,NA
63,NA,Journalism Is Now Cash And Carry,NA
64,NA,A Rare Ray at 75,NA
65,NA,"NMMA honours PUNCH, others - Punch Newspapers",NA
66,NA,Ex-Police Chief Opens Up On Dele Giwa Assassination,NA
67,NA,A master-reporter on top of his game,NA
68,NA,How Nzeribe helped IBB annul Abiola's election,NA
69,NA,Journalism Is Now Cash And Carry,NA
70,NA,Who Replaces Adedayo Among Nigerian Journalists?,NA
71,NA,Dele Giwa's Death and Investigation - Why the Truth Cannot Be Told [opinion],NA
72,NA,Uncle Ray is 75,NA
73,NA,"Vanguard Reporter: Police Must Produce Killers Of Tordue Salem, Says Omo-Agege",NA
74,NA,Ex-DIG Omeben Opens Up On Stalled Dele Giwa Assassination Investigation,NA
75,NA,"NUJ Calls for End to Impunity, Crimes Against Journalists",NA
76,NA,Stanley Macebuh… 10 years in mind,NA
77,NA,The Controversial Lekki Conundrum,NA
78,NA,My good friend Ojeagbase gone for good,NA
79,NA,Dele Giwa Assassination - Investigation Was Marred By Interferences From'high,NA
80,NA,"Ihedioha Breaks Silence, Says God Will Render Ultimate Judgment",NA
81,NA,Did Investigative Journalism Die With Dele Giwa? [analysis],NA
82,NA,Ex-DIG - Dele Giwa's Assassination Was Marred By Interference From 'High Places',NA
83,NA,"Ohanaeze, Afenifere, Uwazuruike mourn Tony Momoh",NA
84,NA,My journalism journey,NA
85,NA,"Buhari, Solve Dele Giwa's Murder!",NA
86,NA,'How Dele Giwa's Murder Led to Mother's Slow Death',NA
87,NA,Chuks Iloegbunam: Restless But Peaceful Soul,NA
88,NA,My journalism journey,NA
89,NA,'Insurgency started with Dele Giwa's bombing',NA
90,NA,My Journalism Journey,NA
91,NA,"Dele Giwa's murder suspect was allowed to escape from Nigeria , say ex-DIG who",NA
92,NA,Nigerian journalists and the military coup in Niger,NA
93,NA,Dimgba Igwe's Journalism Masterpiece,NA
94,NA,"No matter where Buhari runs, Twitter is going to chase him, says Dr. Patrick Cole",NA
95,NA,Whitewashing impunity and iniquity,NA
96,NA,"No matter where Buhari runs, Twitter is going to chase him, says Dr. Patrick Cole",NA
97,NA,GandDollar Gate: Beyond Ja'afar's video,NA
98,NA,"Pupils learn about journalism, others on career day",NA
99,NA,Gideon Orkar: The man who saw tomorrow,NA
100,NA,PETER ENAHORO (Peter Pan) TO THE RESCUE!,NA
101,NA,Stanley Macebuh: Unforgettable pathfinder of modern Nigerian journalism,NA
102,NA,"Giwa, Death, and Journalism",NA
103,NA,"Giwa, Death, and Journalism",NA
104,NA,Nyaknno Abasi Osso: The search engine before Google,NA
105,NA,Murder in the Consulate,NA
